"playerName","matches","innings","runs","average","strikeRate","year"
"Suresh Raina","27","21","605","38","102","2009"
"Harbhajan Singh","26","12","138","14","99","2009"
"Yuvraj Singh","23","21","783","39","96","2009"
"Sachin Tendulkar","21","20","972","54","94","2009"
"Yusuf Pathan","18","13","151","19","94","2009"
"Praveen Kumar","19","9","147","25","94","2009"
"Gautam Gambhir","27","23","848","40","93","2009"
"MS Dhoni","29","24","1,198","70","86","2009"
"Virat Kohli","10","8","325","54","84","2009"
"Dinesh Karthik","10","8","223","37","77","2009"
"Ravindra Jadeja","14","9","201","34","75","2009"
"Rahul Dravid","6","5","180","36","69","2009"
"Rohit Sharma","9","7","102","26","66","2009"
